Municipio;Carona Moto;Carroceiro;Ciclista;Condutor;Motociclista;Não Inf.;Outros;Passageiro;Pedestre;Total
Agudo;0;0;1;0;0;0;0;1;0;2
Ajuricaba;0;0;0;1;0;0;0;0;0;1
Alegrete;0;0;1;2;0;0;0;2;3;8
Alegria;0;0;0;0;0;0;0;0;1;1
Almirante Tamandaré do Sul;0;0;0;2;0;0;0;1;0;3
Alto Alegre;0;0;0;1;0;0;0;1;0;2
Alvorada;0;0;0;2;4;1;0;0;4;11
Amaral Ferrador;0;0;0;0;1;0;0;0;1;2
Anta Gorda;0;0;0;1;0;0;0;0;1;2
Antônio Prado;1;0;0;3;2;0;0;1;0;7
Araricá;0;0;0;0;0;0;0;0;1;1
Aratiba;0;0;0;0;0;0;0;0;1;1
Arroio do Meio;0;0;0;3;1;0;0;0;0;4
Arroio do Padre;0;0;0;0;2;0;0;1;0;3
Arroio do Sal;0;0;0;0;0;0;0;1;0;1
Arroio do Tigre;0;0;0;1;0;0;0;1;0;2
Arroio dos Ratos;0;0;0;1;0;0;0;0;1;2
Arroio Grande;0;0;1;1;1;0;0;1;0;4
Arvorezinha;0;0;0;2;0;0;0;1;1;4
Áurea;0;0;0;0;1;0;0;0;0;1
Bagé;0;0;1;1;4;0;0;0;3;9
Balneário Pinhal;0;0;0;0;2;0;0;0;0;2
Barão;0;0;0;0;1;0;0;0;0;1
Barão de Cotegipe;0;0;0;0;0;0;0;1;0;1
Barra do Guarita;0;0;0;0;0;0;0;0;1;1
Barra do Ribeiro;0;0;0;2;0;0;0;1;2;5
Barra Funda;0;0;0;1;0;0;0;0;0;1
Barracão;0;0;0;1;1;0;0;0;1;3
Barros Cassal;0;0;0;1;1;0;0;2;0;4
Bento Gonçalves;0;0;0;2;5;0;0;0;1;8
Boa Vista das Missões;0;0;0;4;0;0;0;7;0;11
Boa Vista do Buricá;0;0;0;0;1;0;0;1;0;2
Bom Jesus;0;0;0;3;0;0;0;1;0;4
Bom Princípio;0;0;0;2;2;0;0;0;2;6
Bom Progresso;0;0;0;1;0;0;0;2;0;3
Bom Retiro do Sul;0;0;0;1;2;0;0;0;0;3
Boqueirão do Leão;0;0;0;1;0;0;0;0;0;1
Bossoroca;0;0;1;0;0;0;0;0;0;1
Brochier;0;0;0;3;0;0;0;0;0;3
Butiá;0;0;0;0;2;0;0;0;1;3
Caçapava do Sul;0;0;0;5;2;0;0;3;0;10
Cacequi;0;0;0;1;1;0;0;0;0;2
Cachoeira do Sul;0;0;1;6;4;0;0;2;2;15
Cachoeirinha;0;0;0;0;4;0;1;0;1;6
Cacique Doble;0;0;1;0;1;0;0;0;1;3
Caibaté;0;0;0;1;0;0;0;0;0;1
Camaquã;1;0;1;3;3;0;0;0;1;9
Camargo;0;0;0;1;0;0;0;1;0;2
Campestre da Serra;1;0;0;2;0;0;0;1;0;4
Campo Bom;1;0;1;1;4;0;0;1;1;9
Campos Borges;0;0;0;2;0;0;0;0;0;2
Candelária;0;0;1;4;3;0;0;2;2;12
Cândido Godói;0;0;0;0;0;0;0;1;0;1
Candiota;0;0;0;3;1;0;0;1;0;5
Canela;0;1;0;0;2;0;0;0;1;4
Canguçu;1;0;0;3;5;0;0;2;3;14
Canoas;0;0;2;5;10;0;0;0;11;28
Capão Bonito do Sul;0;0;0;1;0;0;0;1;0;2
Capão da Canoa;0;0;0;1;1;0;0;0;0;2
Capão do Leão;0;0;0;1;2;0;0;1;1;5
Capela de Santana;0;0;0;1;0;0;0;1;0;2
Capivari do Sul;0;0;0;0;0;0;0;1;0;1
Carazinho;1;0;0;4;2;0;0;5;1;13
Carlos Barbosa;0;0;0;1;1;0;0;0;0;2
Casca;0;0;0;7;0;0;0;1;0;8
Caseiros;0;0;0;1;0;0;0;1;1;3
Catuípe;0;0;0;3;0;0;0;0;1;4
Caxias do Sul;0;0;2;5;10;0;0;5;11;33
Cerrito;0;0;0;1;1;0;0;1;0;3
Cerro Branco;0;0;2;0;0;0;0;0;0;2
Cerro Grande;0;0;0;0;2;0;0;0;0;2
Cerro Grande do Sul;0;0;0;0;1;0;0;0;0;1
Chapada;0;0;0;1;1;0;0;0;0;2
Charqueadas;0;0;1;2;0;0;0;0;0;3
Cidreira;0;0;0;1;1;0;0;0;0;2
Ciríaco;0;0;0;0;0;0;0;1;0;1
Coronel Bicaco;0;0;0;0;0;0;0;3;1;4
Coxilha;0;0;0;1;0;0;0;1;0;2
Cristal;1;0;0;3;2;0;0;0;0;6
Cristal do Sul;0;0;0;0;0;0;0;1;0;1
Cruz Alta;0;0;0;5;0;0;0;4;1;10
Cruzaltense;0;0;0;0;0;0;0;1;0;1
Cruzeiro do Sul;0;0;0;1;1;0;0;0;0;2
David Canabarro;0;0;0;1;0;0;0;0;0;1
Dezesseis de Novembro;0;0;0;1;0;0;0;0;0;1
Dois Irmãos;1;0;0;1;0;1;0;2;0;5
Dois Lajeados;0;0;0;0;2;0;0;0;0;2
Dom Feliciano;0;0;0;1;1;0;0;0;0;2
Dom Pedrito;1;0;1;0;0;0;0;0;0;2
Doutor Maurício Cardoso;0;0;0;1;0;0;0;1;0;2
Doutor Ricardo;0;0;0;0;0;0;0;0;1;1
Eldorado do Sul;1;0;2;6;2;0;0;8;0;19
Encantado;0;0;0;1;1;0;0;1;2;5
Encruzilhada do Sul;0;0;0;2;2;0;0;2;1;7
Entre-Ijuís;0;0;0;1;0;0;0;0;1;2
Erechim;0;0;0;3;6;0;0;2;1;12
Ernestina;0;0;0;4;0;0;0;1;0;5
Erval Grande;0;0;0;0;1;0;0;0;1;2
Esmeralda;0;0;0;0;0;0;0;0;1;1
Espumoso;0;0;0;1;0;0;0;1;1;3
Estação;0;0;0;1;0;0;0;0;0;1
Estância Velha;0;0;0;0;0;0;0;0;1;1
Esteio;0;0;0;1;2;0;0;0;3;6
Estrela;0;0;0;4;1;1;0;1;0;7
Estrela Velha;0;0;0;2;0;0;0;4;0;6
Eugênio de Castro;0;0;0;1;0;0;0;0;0;1
Farroupilha;0;0;0;6;1;0;0;4;2;13
Faxinal do Soturno;0;0;0;0;1;0;0;2;0;3
Fazenda Vilanova;1;0;0;1;0;0;0;2;1;5
Feliz;0;0;0;2;1;0;0;0;0;3
Flores da Cunha;1;0;0;3;2;0;0;0;1;7
Fontoura Xavier;0;0;0;2;0;0;0;1;0;3
Formigueiro;0;0;0;1;0;0;0;2;0;3
Fortaleza dos Valos;0;0;0;0;0;0;0;0;1;1
Frederico Westphalen;0;0;1;1;1;0;0;0;1;4
Garibaldi;2;0;0;2;0;0;0;2;1;7
Gaurama;0;0;0;0;0;0;0;0;1;1
General Câmara;0;0;0;0;0;0;0;0;1;1
Gentil;0;0;0;0;0;0;0;1;0;1
Getúlio Vargas;0;0;0;4;0;0;0;0;0;4
Giruá;0;0;0;1;2;0;0;0;0;3
Glorinha;0;0;0;1;0;0;0;1;0;2
Gramado;0;0;0;1;4;0;0;0;0;5
Gramado dos Loureiros;0;0;0;0;0;0;0;1;0;1
Gramado Xavier;0;0;0;1;1;0;0;0;0;2
Gravataí;1;1;4;6;11;1;0;8;13;45
Guaíba;1;0;3;3;7;0;0;5;2;21
Guaporé;0;0;0;4;1;0;0;2;1;8
Guarani das Missões;0;0;0;0;2;0;0;1;0;3
Harmonia;0;0;1;0;0;0;0;0;1;2
Herval;0;0;0;1;0;0;0;0;0;1
Herveiras;0;0;0;0;0;0;0;2;0;2
Horizontina;0;0;0;2;1;0;0;0;0;3
Hulha Negra;0;0;0;0;0;0;0;1;1;2
Ibiaçá;0;0;0;0;0;1;0;0;1;2
Ibiraiaras;0;0;0;0;0;0;0;0;1;1
Ibirubá;0;0;0;5;0;0;0;7;1;13
Igrejinha;0;0;1;0;4;0;0;0;0;5
Ijuí;2;0;0;4;5;0;0;5;1;17
Imigrante;0;0;0;1;0;0;0;0;0;1
Independência;0;0;0;2;1;0;0;0;0;3
Ipê;0;0;0;1;3;0;0;1;1;6
Ipiranga do Sul;0;0;0;1;0;0;0;0;0;1
Iraí;0;0;0;2;2;0;0;1;1;6
Itaara;0;0;0;0;0;0;0;0;1;1
Itaqui;0;0;1;1;2;0;0;0;0;4
Itati;0;0;1;0;0;0;0;0;0;1
Ivoti;0;0;0;0;1;0;0;0;0;1
Jaboticaba;0;0;0;0;0;0;0;0;1;1
Jaguarão;0;0;0;1;1;0;0;1;0;3
Jaguari;0;0;0;1;0;0;0;1;0;2
Júlio de Castilhos;0;0;0;4;0;0;0;4;0;8
Lagoa dos Três Cantos;0;0;0;1;0;0;0;0;0;1
LAGOA VERMELHO;0;0;0;2;1;0;0;1;0;4
Lajeado;0;0;0;3;6;0;0;1;3;13
Lavras do Sul;0;0;0;0;1;0;0;0;0;1
Liberato Salzano;0;0;0;0;1;0;0;0;0;1
Lindolfo Collor;0;0;1;1;0;0;0;0;0;2
Maçambará;0;0;0;0;0;1;0;0;0;1
Maquiné;0;0;0;0;1;0;0;1;2;4
Marau;1;0;0;2;1;0;0;0;1;5
Mariana Pimentel;0;0;0;0;0;0;0;1;0;1
Marques de Souza;0;0;0;4;0;0;0;3;0;7
Mata;0;0;0;0;1;0;0;0;0;1
Mato Castelhano;0;0;0;1;1;0;0;2;0;4
Maximiliano de Almeida;0;0;0;0;0;0;0;0;1;1
Miraguaí;0;0;0;1;1;0;0;0;3;5
Monte Alegre dos Campos;0;0;0;1;0;0;0;0;0;1
Montenegro;0;0;4;3;7;0;0;5;3;22
Morro Redondo;0;0;0;1;0;0;0;0;1;2
Morro Reuter;0;0;0;1;0;0;0;0;0;1
Muçum;0;0;0;1;0;0;0;0;0;1
Muitos Capões;0;0;0;1;0;0;0;0;0;1
Não-Me-Toque;0;0;0;2;0;0;0;0;0;2
Nicolau Vergueiro;0;0;0;1;0;0;0;1;0;2
Nonoai;1;0;0;1;1;0;0;1;2;6
Nova Araçá;0;0;0;2;0;0;0;2;1;5
Nova Petrópolis;0;0;1;1;1;0;0;1;2;6
Nova Prata;0;0;0;3;1;0;0;1;0;5
Nova Santa Rita;0;0;0;1;0;0;0;3;3;7
Novo Barreiro;0;0;0;0;1;0;0;0;1;2
Novo Cabrais;0;0;0;0;1;0;0;0;0;1
Novo Hamburgo;1;0;1;5;8;0;1;0;10;26
Osório;1;0;3;3;4;0;0;2;2;15
Palmares do Sul;0;0;0;1;2;0;0;3;2;8
Palmeira das Missões;0;0;0;1;3;0;0;1;1;6
Palmitinho;0;0;0;0;5;0;0;0;0;5
Panambi;0;0;1;2;1;0;0;0;1;5
Pantano Grande;0;0;1;1;0;0;0;2;0;4
Paraíso do Sul;0;0;0;0;1;0;0;0;1;2
Parobé;0;0;2;2;0;0;0;0;1;5
Passa Sete;0;0;0;0;1;0;0;0;0;1
Passo Fundo;0;0;1;11;9;0;0;7;1;29
Paverama;0;1;1;0;1;0;0;0;0;3
Pelotas;2;0;1;7;10;0;0;5;11;36
Pinhal;0;0;0;0;1;0;0;0;0;1
Pinheiro Machado;0;0;0;2;0;0;0;1;1;4
Pinto Bandeira;0;0;0;1;0;0;0;0;0;1
Piratini;0;0;0;1;1;0;0;1;0;3
Planalto;0;0;0;4;2;0;0;0;0;6
Pontão;0;0;0;0;0;0;0;1;1;2
Portão;1;0;0;0;0;0;0;0;5;6
Porto Alegre;1;0;8;12;24;1;0;6;32;84
Porto Xavier;0;0;1;2;0;0;0;3;0;6
Pouso Novo;0;0;0;1;1;0;0;1;0;3
Quaraí;0;0;1;1;0;0;0;0;1;3
Quevedos;0;0;0;0;0;0;0;0;1;1
Redentora;0;0;0;0;4;0;0;0;1;5
Restinga Seca;0;0;0;0;1;0;0;0;1;2
Rio Grande;0;0;2;6;6;0;0;2;11;27
Rio Pardo;0;0;0;3;4;0;0;0;1;8
Roca Sales;0;0;0;1;0;0;0;0;0;1
Rolante;0;0;0;1;0;0;0;0;0;1
Ronda Alta;0;0;0;1;0;0;0;1;0;2
Rondinha;0;0;0;3;0;0;0;0;0;3
Roque Gonzales;0;0;0;1;0;0;0;1;0;2
Rosário do Sul;0;0;0;3;0;0;0;0;3;6
Saldanha Marinho;0;0;0;2;0;0;0;0;1;3
Salto do Jacuí;0;0;0;0;2;0;0;0;1;3
Salvador do Sul;0;0;0;0;1;0;0;0;0;1
Sananduva;0;0;0;0;1;0;0;1;0;2
Santa Bárbara do Sul;1;0;0;3;1;0;0;1;0;6
Santa Cruz do Sul;0;0;3;5;7;0;0;5;2;22
Santa Margarida do Sul;0;0;0;0;0;0;0;1;0;1
Santa Maria;1;0;2;11;7;0;0;5;11;37
Santa Maria do Herval;0;0;0;0;1;0;0;0;0;1
Santa Rosa;0;0;1;5;3;0;0;1;3;13
Santa Vitória do Palmar;0;0;0;2;0;2;0;6;1;11
Santana do Livramento;1;0;1;1;5;0;0;0;3;11
Santiago;0;0;0;3;0;0;0;1;0;4
Santo Ângelo;0;0;1;3;2;0;0;2;1;9
Santo Antônio da Patrulha;0;0;0;4;1;0;0;3;1;9
Santo Antônio das Missões;0;0;0;0;1;0;0;0;0;1
Santo Augusto;0;0;0;0;0;0;0;0;1;1
São Borja;0;0;1;1;3;0;0;0;1;6
São Domingos do Sul;0;0;0;1;0;0;0;0;0;1
São Francisco de Assis;0;0;0;1;0;0;0;0;0;1
São Francisco de Paula;0;0;0;5;1;0;0;1;0;7
São Gabriel;0;0;1;4;1;0;0;1;1;8
São Jerônimo;0;0;1;0;1;0;0;2;0;4
São João do Polêsine;0;0;1;0;1;0;0;0;2;4
São José das Missões;0;0;0;2;1;0;0;0;0;3
São José do Herval;0;0;0;1;0;0;0;2;0;3
São José do Hortêncio;0;0;0;0;0;0;0;1;0;1
São José do Norte;1;0;0;2;2;0;0;2;1;8
São José do Ouro;0;0;0;2;0;0;0;1;0;3
São José dos Ausentes;0;0;0;0;0;0;0;0;1;1
São Leopoldo;0;0;3;3;10;0;0;2;6;24
São Lourenço do Sul;0;0;0;1;2;0;0;1;0;4
São Luiz Gonzaga;0;0;0;1;0;1;0;0;1;3
São Marcos;0;0;0;1;1;0;0;0;0;2
São Martinho;0;0;0;1;0;0;0;0;0;1
São Miguel das Missões;0;0;0;1;0;0;0;0;0;1
São Pedro da Serra;0;0;0;0;0;0;0;2;0;2
São Pedro das Missões;0;0;0;1;0;0;0;1;0;2
São Pedro do Butiá;0;0;0;0;1;0;0;0;0;1
São Pedro do Sul;0;0;0;1;0;0;0;2;1;4
São Sebastião do Caí;0;0;1;0;0;0;0;0;5;6
São Sepé;0;0;0;3;1;0;0;4;1;9
São Vendelino;0;0;0;1;0;0;0;0;0;1
São Vicente do Sul;0;0;0;0;1;0;0;1;0;2
Sapiranga;0;0;2;1;5;0;0;0;2;10
Sapucaia do Sul;0;0;2;1;3;0;0;0;7;13
Sarandi;0;0;0;2;0;0;0;2;0;4
Seberi;0;0;0;1;0;0;0;0;0;1
Sede Nova;0;0;0;1;0;0;0;0;0;1
Selbach;0;0;0;0;0;0;0;3;0;3
Serafina Corrêa;0;0;0;1;0;0;0;1;1;3
Sertão;0;0;0;0;0;0;0;2;1;3
Sertão Santana;0;0;0;1;0;0;0;3;0;4
Sete de Setembro;0;0;0;1;0;0;0;0;0;1
Silveira Martins;0;0;0;0;1;0;0;0;0;1
Sinimbu;0;0;0;0;2;0;0;2;0;4
Sobradinho;0;0;1;1;0;0;0;0;0;2
Soledade;0;0;0;5;0;0;0;3;1;9
Tabaí;0;0;0;1;0;0;0;0;1;2
Tapejara;0;0;0;0;1;0;0;2;0;3
Tapera;0;0;0;2;2;0;0;0;1;5
Tapes;1;0;0;2;0;0;0;0;0;3
Taquara;2;0;2;5;4;0;0;2;3;18
Taquari;0;0;0;1;3;0;0;0;0;4
Taquaruçu do Sul;1;0;0;1;0;0;0;0;0;2
Tenente Portela;0;0;0;2;1;0;0;0;1;4
Terra de Areia;0;0;1;1;1;0;0;0;1;4
Tio Hugo;0;0;0;1;0;0;0;1;1;3
Tiradentes do Sul;0;0;0;0;1;0;0;0;0;1
Torres;0;0;1;4;3;0;0;2;3;13
Tramandaí;0;0;1;1;1;0;0;0;0;3
Três Arroios;0;0;0;1;0;0;0;0;0;1
Três Cachoeiras;0;0;0;1;0;0;0;0;0;1
Três Coroas;0;0;2;2;0;0;0;1;0;5
Três de Maio;0;0;0;2;1;0;0;1;2;6
Três Palmeiras;0;0;0;1;0;0;0;0;0;1
Três Passos;0;0;0;3;2;0;0;2;1;8
Trindade do Sul;1;0;0;0;0;0;0;1;0;2
Triunfo;0;0;1;2;3;0;0;1;0;7
Tucunduva;0;0;0;0;1;0;0;0;0;1
Tupanciretã;0;0;0;3;0;0;0;0;0;3
Tupandi;0;0;1;0;0;0;0;0;0;1
Tuparendi;0;0;0;0;1;0;0;0;0;1
Turuçu;0;0;0;1;0;0;0;0;0;1
Uruguaiana;0;0;0;5;4;0;0;0;3;12
Vacaria;0;0;1;4;2;0;0;4;6;17
Vale do Sol;0;0;0;2;1;0;0;0;0;3
Vale Real;0;0;1;0;0;0;0;1;0;2
Vale Verde;0;0;0;0;1;0;0;0;0;1
Venâncio Aires;2;0;2;3;9;0;0;1;2;19
Vera Cruz;0;0;0;2;3;0;0;0;0;5
Veranópolis;0;0;0;2;1;0;0;1;1;5
Viamão;1;0;0;5;5;2;0;5;13;31
Vicente Dutra;0;0;0;0;0;0;0;0;1;1
Victor Graeff;0;0;0;3;0;0;0;4;0;7
Vila Flores;0;0;0;1;0;0;0;0;1;2
Vila Lângaro;0;0;0;0;1;0;0;1;0;2
Vila Maria;0;0;0;0;1;0;0;0;1;2
Vista Alegre;0;0;0;0;1;0;0;0;0;1
Vista Gaúcha;0;0;0;1;0;0;0;0;0;1
Vitória das Missões;0;0;0;2;0;0;0;0;0;2
Westfália;0;0;0;2;1;0;0;0;0;3
Xangri-lá;0;0;0;1;1;0;0;1;1;4
Total;38;3;95;484;410;12;2;302;324;1670
